34 함덕주 19두 0.81 61 0 0 0 2 5 16 7 54.2 24 21 236 39 7 1 6 34 4 1 2 3.46 4.77 1.34 118.2 84.6 0.81 1.14
35 이승진 21두 0.73 47 0 0 0 1 4 2 13 48.1 24 21 210 41 3 0 3 31 2 2 2 3.91 4.91 1.49 110.3 88.8 0.73 0.25
36 김민규 20두 0.63 29 0 0 4 1 2 1 0 53.1 30 29 231 47 14 0 3 22 2 3 1 4.89 3.56 1.29 94.8 130.8 0.63 0.19
37 곽빈 22두 0.60 13 0 0 13 3 6 0 0 68.1 35 29 304 59 13 0 6 39 0 5 5 3.82 4.58 1.43 100.9 83.6 0.60 -0.04
38 김명신 21두 0.58 58 0 0 1 3 2 0 2 67.0 37 32 289 72 14 3 6 14 1 6 1 4.30 4.06 1.28 100.3 105.9 0.58 -0.19
39 채지선 20두 0.44 37 0 0 0 1 0 0 2 33.0 18 18 158 34 3 1 3 24 1 5 11 4.91 5.22 1.76 94.5 88.7 0.44 -0.09
40 이승진 20두 0.38 33 0 0 5 2 4 0 5 51.1 33 32 228 55 12 2 3 22 1 2 0 5.61 3.56 1.50 82.7 130.8 0.38 -0.66
"순 이름 팀 정렬
출장
완투
완봉
선발
승
패
세
홀드
이닝
실점
자책
타자
안타
2타
3타
홈런
볼넷
고4
사구
폭투
비율
WAR
WPA"
"WAR
ERA
FIP
WHIP
ERA+
FIP+"
41 정철원 22두 0.38 20 0 0 0 2 1 0 7 25.0 11 11 101 21 3 1 3 7 2 2 0 3.96 4.44 1.12 97.4 85.6 0.38 0.31
42 윤명준 20두 0.37 42 0 0 0 0 0 2 7 40.0 24 22 180 49 6 1 4 12 1 1 1 4.95 4.76 1.53 93.7 97.3 0.37 0.42
43 이현승 18두 0.35 39 0 0 0 1 0 0 6 30.2 18 17 140 39 9 2 4 14 1 1 0 4.99 5.53 1.73 101.3 91.0 0.35 0.02
44 박치국 19두 0.35 61 0 0 0 2 2 3 14 52.0 26 26 229 64 14 1 5 14 2 5 3 4.50 4.29 1.50 90.8 94.4 0.35 -1.07
45 이현호 18두 0.27 15 0 0 2 0 0 1 0 28.0 19 19 134 37 6 0 4 13 0 1 1 6.11 5.55 1.79 82.8 90.4 0.27 -0.15
46 이현승 20두 0.23 62 0 0 0 2 1 2 9 42.1 27 25 195 48 9 2 2 21 0 2 3 5.31 3.82 1.63 87.3 122.5 0.23 -0.55
47 배영수 19두 0.20 37 0 0 0 1 2 0 0 45.1 25 23 194 50 11 1 4 11 2 3 3 4.57 4.90 1.35 89.5 83.1 0.20 -0.60
48 박종기 20두 0.19 8 0 0 5 1 2 0 0 26.0 16 16 117 30 6 0 3 14 0 0 1 5.54 5.13 1.69 83.7 90.0 0.19 0.11
49 윤명준 21두 0.17 45 0 0 0 1 0 0 1 45.2 28 24 208 53 6 0 3 20 2 4 1 4.73 4.49 1.60 91.2 96.7 0.17 -0.44
50 유희관 20두 0.16 27 0 0 27 10 11 0 0 136.1 91 76 622 190 37 5 14 39 4 3 1 5.02 4.91 1.68 92.4 94.4 0.16 -2.34
"순 이름 팀 정렬
출장
완투
완봉
선발
승
패
세
홀드
이닝
실점
자책
타자
안타
2타
3타
홈런
볼넷
고4
사구
폭투
비율
WAR
WPA"
"WAR
ERA
FIP
WHIP
ERA+
FIP+"
51 홍건희 22두 0.15 29 0 0 0 1 4 5 9 32.2 17 14 141 29 5 0 2 13 2 2 4 3.86 3.66 1.29 99.9 105.1 0.15 0.77
52 박신지 22두 0.04 16 0 0 3 1 1 0 0 26.0 15 15 129 29 5 0 2 17 0 2 2 5.19 5.05 1.77 74.2 76.1 0.04 -0.34
53 이현호 19두 -0.02 16 0 0 8 1 0 0 0 40.1 25 23 191 51 8 1 2 19 0 1 2 5.13 4.44 1.74 79.6 92.2 -0.02 -0.51
54 이영하 22두 -0.02 14 0 0 14 6 4 0 0 74.2 44 35 337 81 12 0 4 34 1 4 5 4.22 3.77 1.54 91.4 102.3 -0.02 -0.56
55 김강률 20두 -0.17 30 0 0 0 2 2 0 0 28.0 22 11 141 36 6 2 1 20 0 4 0 3.54 4.59 2.00 131.2 102.1 -0.17 -0.30
56 권혁 19두 -0.21 57 0 0 0 2 2 1 11 36.2 23 20 155 36 7 0 3 7 0 2 0 4.91 4.06 1.17 83.3 100.2 -0.21 0.02
57 박종기 21두 -0.22 22 0 0 5 0 4 0 0 59.2 42 38 274 69 10 1 3 29 0 3 3 5.73 4.49 1.64 75.3 97.3 -0.22 -1.66
58 김민규 21두 -0.22 31 0 0 6 2 3 0 1 56.1 40 38 262 64 10 0 9 28 0 4 3 6.07 5.73 1.63 71.0 74.4 -0.22 -0.67
59 이영하 21두 -0.28 35 0 0 11 5 6 1 2 78.2 58 55 364 81 18 0 9 57 0 1 7 6.29 5.68 1.75 68.5 75.8 -0.28 -1.63
60 최승용 22두 -0.32 19 0 0 8 2 4 0 2 42.0 29 28 189 50 7 3 3 16 0 2 1 6.00 4.44 1.57 64.3 86.5 -0.32 -0.34
"순 이름 팀 정렬
출장
완투
완봉
선발
승
패
세
홀드
이닝
실점
자책
타자
안타
2타
3타
홈런
볼넷
고4
사구
폭투
비율
WAR
WPA"
"WAR
ERA
FIP
WHIP
ERA+
FIP+"
61 곽빈 18두 -0.36 32 0 0 0 3 1 1 4 31.0 26 26 154 44 10 0 6 17 0 3 0 7.55 6.61 1.97 67.0 75.6 -0.36 -0.11
62 이형범 20두 -0.40 27 0 0 0 1 2 1 1 25.2 22 22 122 30 6 0 5 16 2 2 1 7.71 6.95 1.79 60.1 65.9 -0.40 -2.18
63 유희관 18두 -0.51 29 0 0 28 10 10 0 0 141.0 108 105 650 197 41 3 23 42 0 4 1 6.70 5.78 1.70 75.4 86.5 -0.51 -2.73
64 이용찬 20두 -0.54 5 0 0 5 1 3 0 0 26.2 25 25 125 41 8 0 7 6 0 0 1 8.44 6.52 1.76 55.0 69.3 -0.54 -0.74
65 유희관 21두 -1.49 15 0 0 15 4 7 0 0 63.0 57 54 314 107 14 3 10 24 0 3 0 7.71 5.95 2.08 55.9 71.8 -1.49 -1.98
"순 이름 팀 정렬
출장
완투
완봉
선발
승
패
세
홀드
이닝
실점
자책
타자
안타
2타
3타
홈런
볼넷
고4
사구
폭투
비율
WAR
WPA"
"WAR
ERA
FIP
WHIP
ERA+
FIP+"
1 백정현 21삼 5.27 27 0 0 27 14 5 0 0 157.2 54 46 648 142 25 1 15 54 2 2 2.63 4.21 1.24 171.9 107.3 5.27 1.78
2 원태인 21삼 4.76 26 0 0 26 14 7 0 0 158.2 59 54 655 147 32 1 11 51 1 5 3.06 3.65 1.25 147.4 123.4 4.76 2.41
3 뷰캐넌 20삼 4.68 27 1 0 27 15 7 0 0 174.2 71 67 728 172 19 2 16 50 0 7 3.45 4.34 1.27 141.9 112.1 4.68 1.62
4 뷰캐넌 21삼 4.54 30 1 1 30 16 5 0 0 177.0 71 61 758 173 25 4 13 59 2 2 3.10 3.46 1.31 145.5 130.3 4.54 1.66
5 최채흥 20삼 3.35 26 1 1 26 11 6 0 0 146.0 67 58 617 131 27 1 12 51 0 7 3.58 4.13 1.25 137.1 117.6 3.35 1.32
6 뷰캐넌 22삼 3.09 14 1 1 14 6 3 0 0 90.0 27 23 381 90 16 0 3 21 0 5 2.30 3.05 1.23 172.7 128.9 3.09 1.55
7 오승환 21삼 3.03 64 0 0 0 0 2 44 0 62.0 17 14 252 56 15 3 3 16 3 2 2.03 2.85 1.16 222.1 157.9 3.03 4.31
8 최충연 18삼 3.00 70 0 0 0 2 6 8 16 85.0 34 34 344 73 16 2 6 26 1 2 3.60 3.33 1.17 147.3 156.2 3.00 1.49
9 아델만 18삼 2.83 31 0 0 31 8 12 0 0 171.0 101 96 758 202 39 1 20 54 0 11 5.05 4.89 1.50 105.0 107.1 2.83 -1.15
10 라이블리 20삼 2.68 21 0 0 21 6 7 0 0 112.0 54 53 478 98 16 1 11 39 0 12 4.26 4.50 1.22 115.1 108.2 2.68 -0.19
"순 이름 팀 정렬
출장
완투
완봉
선발
승
패
세
홀드
이닝
실점
자책
타자
안타
2타
3타
홈런
볼넷
고4
사구
폭투
비율
WAR
WPA"
"WAR
ERA
FIP
WHIP
ERA+
FIP+"
11 오승환 20삼 2.60 45 0 0 0 3 2 18 2 47.2 14 14 201 44 10 1 2 15 0 2 2.64 3.53 1.24 185.4 136.3 2.60 1.82
12 백정현 18삼 2.35 25 0 0 23 7 7 1 0 125.2 68 64 540 142 27 2 18 36 0 3 4.58 5.05 1.42 115.7 104.1 2.35 -0.87
13 수아레즈 22삼 2.24 14 0 0 14 3 5 0 0 80.2 28 21 334 71 9 0 3 23 0 2 2.34 3.00 1.17 169.6 130.9 2.24 1.18
14 백정현 19삼 2.06 28 1 1 27 8 10 0 0 157.0 85 74 677 158 29 4 17 56 0 6 4.24 4.95 1.36 102.1 86.3 2.06 -0.65
15 우규민 19삼 1.99 54 0 0 0 2 7 15 7 59.0 20 18 247 58 3 0 7 10 1 6 2.75 4.35 1.15 157.7 98.5 1.99 0.96
16 심창민 18삼 1.87 59 0 0 0 5 2 17 5 66.1 32 30 284 57 9 2 12 22 2 9 4.07 5.45 1.19 130.3 96.7 1.87 1.28
17 보니야 18삼 1.79 29 0 0 29 7 10 0 0 168.0 111 99 752 193 40 2 23 63 1 12 5.30 5.14 1.52 100.0 102.2 1.79 -1.92
18 장필준 19삼 1.73 61 0 0 0 3 3 11 15 69.2 29 28 302 64 12 1 7 33 3 3 3.62 4.61 1.39 119.7 92.6 1.73 0.79
19 이승현 20삼 1.57 65 0 0 0 1 2 0 14 54.1 22 21 226 45 7 1 11 25 1 0 3.48 5.60 1.29 140.9 88.2 1.57 0.25
20 최채흥 21삼 1.55 26 1 0 20 5 9 0 2 122.1 66 62 538 143 21 2 16 37 1 2 4.56 4.62 1.47 99.0 98.3 1.55 -0.37
"순 이름 팀 정렬
출장
완투
완봉
선발
승
패
세
홀드
이닝
실점
자책
타자
안타
2타
3타
홈런
볼넷
고4
사구
폭투
비율
WAR
WPA"
"WAR
ERA
FIP
WHIP
ERA+
FIP+"
21 원태인 22삼 1.53 12 0 0 12 3 5 0 0 75.1 32 30 321 76 12 1 4 26 3 1 3.58 3.54 1.35 110.8 111.8 1.53 0.63
22 원태인 20삼 1.51 27 0 0 26 6 10 0 0 140.0 84 76 626 162 32 1 19 56 2 5 4.89 5.47 1.56 100.3 89.4 1.51 -1.23
23 장필준 18삼 1.51 61 0 0 0 5 5 6 13 66.1 35 32 290 65 15 1 6 25 2 6 4.34 4.09 1.36 122.2 127.5 1.51 -0.78
24 양창섭 18삼 1.43 19 0 0 17 7 6 0 0 87.1 52 49 400 100 22 0 12 34 0 10 5.05 6.01 1.53 105.0 87.4 1.43 -0.72
25 우규민 18삼 1.41 48 0 0 0 4 1 0 10 58.2 28 28 246 70 12 0 6 12 1 5 4.30 4.34 1.40 123.5 120.6 1.41 -0.22
26 이승현 19삼 1.16 34 0 0 0 2 1 0 8 37.0 11 8 147 28 3 0 2 11 0 1 1.95 3.40 1.05 222.5 124.8 1.16 0.36
27 라이블리 19삼 1.10 9 1 1 9 4 4 0 0 57.0 26 25 236 51 9 4 4 13 0 5 3.95 3.23 1.12 109.7 132.2 1.10 0.25
28 권오준 18삼 1.07 47 0 0 0 3 1 1 2 43.1 21 19 189 43 7 0 7 12 0 3 3.95 4.57 1.27 134.4 115.0 1.07 -0.11
29 임현준 20삼 1.03 51 0 0 0 1 1 0 5 25.1 7 5 109 24 3 0 2 7 1 6 1.78 4.58 1.22 275.9 106.1 1.03 0.42
30 최지광 19삼 1.03 63 0 0 0 3 8 2 10 68.0 33 31 303 64 9 3 4 40 3 5 4.10 4.26 1.53 105.5 99.6 1.03 -0.71
"순 이름 팀 정렬
출장
완투
완봉
선발
승
패
세
홀드
이닝
실점
자책
타자
안타
2타
3타
홈런
볼넷
고4
사구
폭투
비율
WAR
WPA"
"WAR
ERA
FIP
WHIP
ERA+
FIP+"
31 우규민 21삼 1.02 60 0 0 0 3 3 2 24 49.0 22 18 213 58 4 1 5 9 1 2 3.31 3.84 1.37 136.5 118.1 1.02 -0.84
32 오승환 22삼 0.93 27 0 0 0 2 0 17 1 28.0 10 8 122 30 5 0 2 7 0 1 2.57 3.04 1.32 154.5 130.5 0.93 1.92
33 원태인 19삼 0.85 26 0 0 20 4 8 0 2 112.0 65 60 493 119 26 3 12 39 0 5 4.82 4.76 1.41 89.8 89.8 0.85 -1.59
34 최지광 20삼 0.82 51 0 0 0 1 3 0 15 44.1 24 24 199 34 5 0 2 31 4 3 4.87 4.14 1.47 100.6 116.7 0.82 -0.54
35 윤성환 19삼 0.81 27 1 1 27 8 13 0 0 145.1 87 77 643 168 34 3 14 50 0 7 4.77 4.94 1.50 90.8 86.3 0.81 -1.05
36 김윤수 20삼 0.79 61 0 0 0 3 5 0 12 58.0 34 30 266 66 9 0 6 31 3 1 4.66 4.99 1.67 105.3 97.8 0.79 -1.34
37 최채흥 18삼 0.78 8 0 0 4 4 1 0 0 28.0 11 10 120 30 5 1 5 8 0 1 3.21 5.33 1.36 165.0 98.9 0.78 0.06
38 맥과이어 19삼 0.75 21 1 1 21 4 8 0 0 112.1 68 63 512 119 24 3 13 66 0 6 5.05 5.05 1.65 85.8 84.7 0.75 -0.37
39 임현준 19삼 0.72 71 0 0 0 1 0 0 8 42.1 19 16 177 34 9 1 2 12 0 3 3.40 3.43 1.09 127.3 123.7 0.72 0.45
40 라이블리 21삼 0.66 7 0 0 7 0 1 0 0 33.1 16 15 140 23 6 0 4 13 0 5 4.05 4.23 1.08 111.5 107.0 0.66 0.33
"순 이름 팀 정렬
출장
완투
완봉
선발
승
패
세
홀드
이닝
실점
자책
타자
안타
2타
3타
홈런
볼넷
고4
사구
폭투
비율
WAR
WPA"
"WAR
ERA
FIP
WHIP
ERA+
FIP+"
41 임현준 18삼 0.65 40 0 0 0 0 1 0 3 27.2 12 12 116 20 4 1 3 11 1 5 3.90 4.99 1.12 135.9 104.8 0.65 0.18
42 김대우 20삼 0.60 28 0 0 9 3 7 0 1 77.2 49 44 350 95 17 1 9 26 0 6 5.10 5.35 1.56 96.1 91.2 0.60 -0.91
43 김승현 18삼 0.57 28 0 0 0 1 3 0 2 32.1 18 16 158 48 8 1 3 15 2 5 4.45 4.92 1.95 119.1 106.3 0.57 -0.83
44 허윤동 20삼 0.56 11 0 0 11 2 1 0 0 45.0 26 24 204 43 10 0 4 31 0 2 4.80 6.11 1.64 102.1 79.3 0.56 -0.21
45 정인욱 18삼 0.49 19 0 0 0 1 0 0 0 31.0 17 12 137 31 7 1 3 9 0 3 3.48 4.51 1.29 152.3 115.9 0.49 -0.10
46 최지광 21삼 0.35 60 0 0 0 7 1 0 14 51.1 30 28 231 53 11 2 5 27 0 2 4.91 4.38 1.56 91.9 102.9 0.35 0.15
47 최채흥 19삼 0.32 28 0 0 15 6 6 0 2 106.2 67 57 478 127 21 5 10 36 1 1 4.81 3.97 1.53 90.0 107.8 0.32 -1.21
48 노성호 20삼 0.31 45 0 0 0 2 3 0 10 36.1 23 18 166 28 5 0 3 29 1 2 4.46 5.23 1.57 109.9 92.6 0.31 -0.37
49 장필준 20삼 0.28 31 0 0 2 0 3 0 4 36.0 24 23 170 46 9 0 6 16 0 0 5.75 5.61 1.72 85.2 87.5 0.28 -0.94
50 권오준 19삼 0.24 43 0 0 0 3 0 0 3 43.0 25 25 187 49 10 1 7 12 0 2 5.23 5.29 1.42 82.8 81.4 0.24 -0.18
"순 이름 팀 정렬
출장
완투
완봉
선발
승
패
세
홀드
이닝
실점
자책
타자
안타
2타
3타
홈런
볼넷
고4
사구
폭투
비율
WAR
WPA"
"WAR
ERA
FIP
WHIP
ERA+
FIP+"
51 몽고메리 21삼 0.21 11 0 0 11 2 5 0 0 52.0 33 31 244 46 5 1 3 38 0 4 5.37 4.39 1.62 84.1 102.0 0.21 -0.71
52 장원삼 18삼 0.18 8 0 0 8 3 1 0 0 38.0 27 26 173 47 13 1 4 13 0 1 6.16 4.89 1.58 86.1 107.2 0.18 -0.43
53 심창민 21삼 0.15 59 0 0 0 3 2 0 16 51.1 32 29 238 47 12 0 8 32 0 6 5.08 5.32 1.54 88.8 85.3 0.15 -0.43
54 이승현 21삼 0.14 41 0 0 0 1 4 0 7 39.1 24 23 174 35 8 0 3 23 0 3 5.26 3.97 1.48 85.8 113.2 0.14 -0.32
55 백정현 20삼 0.10 11 0 0 11 4 4 0 0 59.0 43 34 258 67 15 2 13 17 0 1 5.19 5.78 1.42 94.5 85.7 0.10 -0.87
56 김대우 19삼 0.09 44 0 0 0 5 1 0 1 59.2 38 34 253 61 16 2 11 16 0 5 5.13 5.51 1.29 84.4 78.2 0.09 -0.42
57 홍정우 20삼 0.06 30 0 0 0 0 0 0 1 30.0 23 22 139 37 4 1 5 12 0 1 6.60 5.09 1.63 74.2 96.6 0.06 -0.23
58 헤일리 19삼 -0.00 19 0 0 19 5 8 0 0 87.2 59 56 386 95 12 2 5 34 0 6 5.75 3.60 1.47 75.3 118.1 -0.00 -1.03
59 한기주 18삼 -0.04 33 0 0 1 1 4 0 3 39.0 32 29 183 54 12 1 8 12 0 5 6.69 6.27 1.69 79.3 84.2 -0.04 -1.22
60 우규민 20삼 -0.06 52 0 0 0 3 3 7 11 48.0 34 33 210 61 10 1 3 9 1 1 6.19 3.68 1.46 79.2 131.8 -0.06 0.05
"순 이름 팀 정렬
출장
완투
완봉
선발
승
패
세
홀드
이닝
실점
자책
타자
안타
2타
3타
홈런
볼넷
고4
사구
폭투
비율
WAR
WPA"
"WAR
ERA
FIP
WHIP
ERA+
FIP+"
61 이승민 20삼 -0.09 7 0 0 5 1 3 0 0 26.1 21 20 128 34 5 0 5 19 1 0 6.84 6.86 2.01 71.7 71.6 -0.09 -0.69
62 김대우 21삼 -0.39 31 0 0 4 0 2 0 1 51.0 39 36 234 68 18 0 7 15 1 2 6.35 5.00 1.63 71.0 91.0 -0.39 -1.41
63 김대우 18삼 -0.43 8 0 0 7 2 2 0 0 36.1 34 32 176 53 12 2 7 18 0 3 7.93 7.25 1.95 66.9 72.7 -0.43 -1.10
64 장필준 21삼 -0.43 41 0 0 0 0 0 0 2 34.2 30 28 174 46 8 1 4 27 1 1 7.27 5.78 2.11 62.1 78.1 -0.43 -0.68
65 윤성환 18삼 -0.51 24 0 0 24 5 9 0 0 117.1 99 91 542 164 30 0 28 32 0 9 6.98 6.47 1.67 76.0 81.9 -0.51 -3.55
"순 이름 팀 정렬
출장
완투
완봉
선발
승
패
세
홀드
이닝
실점
자책
타자
안타
2타
3타
홈런
볼넷
고4
사구
비율
WAR
WPA"
"WAR
ERA
FIP
WHIP
ERA+
FIP+"
1 루친스키 20N 5.59 30 0 0 30 19 5 0 0 183.0 67 62 770 173 12 3 14 57 0 11 167 3.05 3.84 1.26 159.9 125.9 5.59 3.04
2 루친스키 19N 4.70 30 2 0 30 9 9 0 0 177.1 68 60 731 164 20 1 13 45 0 11 119 3.05 3.96 1.18 139.2 106.7 4.70 2.51
3 구창모 20N 4.62 15 0 0 14 9 0 0 1 93.1 20 18 348 58 12 0 7 18 0 0 102 1.74 2.92 0.81 280.9 165.7 4.62 2.80
4 루친스키 21N 4.50 30 0 0 30 15 10 0 0 178.2 76 63 754 160 24 1 12 55 0 10 177 3.17 3.32 1.20 143.1 135.9 4.50 1.88
5 박진우 19N 3.86 41 0 0 18 9 7 0 5 140.2 53 49 590 137 18 0 9 29 0 19 3.14 3.95 1.18 135.2 107.0 3.86 2.46
6 파슨스 21N 3.73 24 1 0 24 4 8 0 0 133.0 56 55 577 109 16 2 9 63 0 11 148 3.72 3.66 1.29 122.0 123.3 3.73 0.50
7 루친스키 22N 3.50 14 0 0 14 5 4 0 0 94.2 26 19 371 71 13 1 4 11 0 4 104 1.81 2.15 0.87 216.7 183.3 3.50 2.84
8 구창모 19N 2.70 23 0 0 19 10 7 0 1 107.0 40 38 449 85 15 2 10 42 0 5 114 3.20 3.80 1.19 132.6 111.7 2.70 1.09
9 이재학 18N 2.68 29 1 0 29 5 13 0 0 152.1 87 81 658 157 27 2 13 49 2 10 116 4.79 4.54 1.35 108.4 115.4 2.68 -1.06
10 신민혁 21N 2.66 30 0 0 25 9 6 0 0 145.0 75 71 625 155 28 3 17 44 0 5 107 4.41 4.40 1.37 103.0 102.9 2.66 0.11
"순 이름 팀 정렬
출장
완투
완봉
선발
승
패
세
홀드
이닝
실점
자책
타자
안타
2타
3타
홈런
볼넷
고4
사구
비율
WAR
WPA"
"WAR
ERA
FIP
WHIP
ERA+
FIP+"
11 프리드릭 19N 2.40 12 2 1 12 7 4 0 0 72.0 22 22 294 63 6 0 4 22 1 3 2.75 3.57 1.18 154.1 118.3 2.40 0.79
12 송명기 20N 2.29 36 0 0 12 9 3 0 0 87.2 37 36 372 78 13 0 12 39 1 2 3.70 5.06 1.34 131.9 95.9 2.29 0.10
13 왕웨이중 18N 2.29 25 0 0 25 7 10 0 0 141.2 83 67 615 169 25 1 16 40 2 2 108 4.26 4.62 1.48 121.9 113.5 2.29 -0.52
14 베렛 18N 2.23 29 0 0 29 6 10 0 0 155.0 94 91 698 178 31 2 24 59 0 9 144 5.28 5.30 1.53 98.2 99.1 2.23 -2.29
